,name,postcode,property_type,bedrooms,bathrooms,parking,schools,cost_text,train_station(m),CBD(m),population2022,population2023,population2024,population2025,income2022,income2023,income2024,income2025,price_label
1889,1/12 Sinnott Street Burwood VIC 3125,3125,House,5,2,0,0.8,185.0,2698.6,16333.4,22482.0,21795.0,21129.0,20484.0,102314,103847,105411,107006,0
5627,149 William Street St Albans VIC 3021,3021,House,1,1,0,0.6,185.0,1464.3,23417.2,45495.0,44112.0,42773.0,41476.0,160789,167220,173917,180890,0
5626,8/87 Gardner Street Richmond VIC 3121,3121,Apartment / Unit / Flat,0,0,1,0.3,185.0,1679.7,4650.0,33700.0,32500.0,31343.0,30227.0,82185,86074,90147,94413,0
5624,Room 3/18 Glenbrook Avenue Clayton VIC 3168,3168,Studio,0,0,1,0.5,185.0,2003.1,21948.8,23358.0,21169.0,19186.0,17389.0,29868,29462,29062,28667,0
5623,1/12 Sinnott Street Burwood VIC 3125,3125,House,5,2,0,0.8,185.0,2698.6,16333.4,22482.0,21795.0,21129.0,20484.0,102314,103847,105411,107006,0
439,610/127 Leicester Street Carlton VIC 3053,3053,Studio,1,1,0,0.8,185.0,1168.9,1462.5,20750.0,18664.0,16787.0,15099.0,35718,36817,37950,39118,0
5633,3A/116-130 Main Drive Macleod VIC 3085,3085,Studio,0,0,1,0.8,190.0,3272.0,16348.5,14992.0,14668.0,14352.0,14045.0,115582,119258,123055,126977,0
5628,31 Scarlet Drive Bundoora VIC 3083,3083,House,1,3,2,1.3,190.0,5195.3,20531.6,13779.0,13390.0,13013.0,12647.0,101467,104771,108188,111721,0
207,1/133 Raleigh Road Maribyrnong VIC 3032,3032,Studio,1,1,0,1.2,190.0,3386.4,9202.0,35686.0,34957.0,34252.0,33571.0,199379,207294,215524,224082,0
5629,16 Doidge Street Bundoora VIC 3083,3083,House,8,3,2,0.7,190.0,4141.1,16734.2,13779.0,13390.0,13013.0,12647.0,101467,104771,108188,111721,0
5630,1728 Dandenong Road Clayton VIC 3168,3168,Apartment / Unit / Flat,1,1,0,0.2,190.0,1738.3,22687.5,23358.0,21169.0,19186.0,17389.0,29868,29462,29062,28667,0
5636,17 Dawson Street Reservoir VIC 3073,3073,House,1,2,0,1.4,190.0,2998.7,14953.9,44917.0,43681.0,42480.0,41315.0,110619,115138,119847,124755,0
5635,42 Porter Street Prahran VIC 3181,3181,Apartment / Unit / Flat,1,1,0,0.4,190.0,909.2,6027.1,20442.0,19535.0,18669.0,17840.0,76595,80071,83705,87504,0
5433,1/2 Glenside Street Avondale Heights VIC 3034,3034,Apartment / Unit / Flat,1,1,1,0.8,190.0,5568.5,11065.5,28349.0,28104.0,27862.0,27621.0,64231,66291,68417,70611,0
5631,2/6 Atlantic Street Clayton VIC 3168,3168,Townhouse,1,1,0,0.4,190.0,1486.9,23037.6,23358.0,21169.0,19186.0,17389.0,29868,29462,29062,28667,0
858,Room 4/5 Thwaites Close Highton VIC 3216,3216,House,1,1,0,1.9,190.0,2998.6,85203.5,59229.0,60753.0,62377.0,64109.0,184195,192855,201927,211432,0
5632,421/51 Gordon Street Footscray VIC 3011,3011,Studio,1,1,0,0.4,190.0,1775.2,8312.5,25749.0,25312.0,24882.0,24461.0,135845,141657,147725,154059,0
5634,1A/116-130 Main Drive Macleod VIC 3085,3085,Studio,1,1,0,0.8,190.0,3272.0,16348.5,14992.0,14668.0,14352.0,14045.0,115582,119258,123055,126977,0
5639,127 Leicester Street Carlton VIC 3053,3053,Studio,1,1,0,0.8,195.0,1168.9,1462.5,20750.0,18664.0,16787.0,15099.0,35718,36817,37950,39118,0
5640,5 Morris Court Dandenong North VIC 3175,3175,House,1,1,0,0.6,195.0,5374.1,31531.7,80706.0,78906.0,77174.0,75506.0,154868,159292,163846,168535,0
5638,50 Barry Street Carlton VIC 3053,3053,Studio,1,1,0,0.8,195.0,1144.6,1438.2,20750.0,18664.0,16787.0,15099.0,35718,36817,37950,39118,0
5637,1/1 Daniher Close Berwick VIC 3806,3806,House,1,1,0,0.6,195.0,2143.1,44913.4,31707.0,31327.0,30953.0,30585.0,119038,123105,127312,131664,0
5425,G06/58 Douglas Street Noble Park VIC 3174,3174,Studio,1,1,0,0.4,195.0,225.8,34061.6,31243.0,30047.0,28899.0,27798.0,96270,98881,101565,104325,0
5641,1/125 Bouverie Street Carlton VIC 3053,3053,Apartment / Unit / Flat,0,0,1,0.7,199.0,1275.9,1569.5,20750.0,18664.0,16787.0,15099.0,35718,36817,37950,39118,0
5449,74 Jones Road Dandenong VIC 3175,3175,Studio,1,1,0,0.4,200.0,2621.0,33013.7,80706.0,78906.0,77174.0,75506.0,154868,159292,163846,168535,0
5651,3/10 Holmes Street Frankston VIC 3199,3199,Studio,1,1,0,0.9,200.0,472.4,55107.9,60500.0,59711.0,58932.0,58164.0,176387,182176,188161,194348,0
5650,Room 3/19 Commercial Road Footscray VIC 3011,3011,House,1,1,0,0.3,200.0,1339.0,7944.8,25749.0,25312.0,24882.0,24461.0,135845,141657,147725,154059,0
5654,60 Waverley Road Malvern East VIC 3145,3145,Apartment / Unit / Flat,1,1,0,0.9,200.0,1002.0,12766.5,43092.0,41863.0,40672.0,39516.0,185083,189702,194442,199307,0
5655,903 Dandenong Road Malvern East VIC 3145,3145,Apartment / Unit / Flat,1,1,0,0.9,200.0,883.4,14011.4,43092.0,41863.0,40672.0,39516.0,185083,189702,194442,199307,0
5656,4 Garland Court Noble Park North VIC 3174,3174,House,1,1,1,0.9,200.0,2861.6,32493.0,31243.0,30047.0,28899.0,27798.0,96270,98881,101565,104325,0
5657,32 St Edmonds Road Prahran VIC 3181,3181,Apartment / Unit / Flat,0,0,1,0.2,200.0,305.4,5933.7,20442.0,19535.0,18669.0,17840.0,76595,80071,83705,87504,0
5004,214/51 Gordon Street Footscray VIC 3011,3011,Apartment / Unit / Flat,1,1,0,0.4,200.0,1775.2,8312.5,25749.0,25312.0,24882.0,24461.0,135845,141657,147725,154059,0
5649,45 Victoria Parade Collingwood VIC 3066,3066,Studio,1,1,0,0.8,200.0,781.5,3381.9,11091.0,10881.0,10675.0,10473.0,77145,81693,86509,91609,0
5648,Room 7 3B Gardiner Road Clayton VIC 3168,3168,House,1,1,0,0.9,200.0,2746.0,21244.4,23358.0,21169.0,19186.0,17389.0,29868,29462,29062,28667,0
5647,9 Mayfield Grove Caulfield North VIC 3161,3161,House,1,2,0,0.6,200.0,1312.3,11510.1,10418.0,10185.0,9957.0,9734.0,56454,58176,59951,61780,0
5646,5 Dudley Street Caulfield East VIC 3145,3145,Apartment / Unit / Flat,1,1,0,1.1,200.0,1050.5,13325.9,43092.0,41863.0,40672.0,39516.0,185083,189702,194442,199307,0
5644,386 Burwood Highway Burwood VIC 3125,3125,Apartment / Unit / Flat,1,1,0,1.8,200.0,3349.9,17573.0,22482.0,21795.0,21129.0,20484.0,102314,103847,105411,107006,0
5652,53 McEwan Road Heidelberg Heights VIC 3081,3081,Apartment / Unit / Flat,0,0,1,0.9,200.0,2202.8,14803.8,15024.0,14635.0,14257.0,13889.0,60057,62547,65140,67840,0
5481,13 Saloon Circuit Clyde North VIC 3978,3978,Studio,1,0,0,1.0,200.0,5180.5,56754.0,34386.0,37544.0,41005.0,44802.0,191734,201926,212797,224400,0
5643,116-130 Main Drive Bundoora VIC 3083,3083,Studio,1,1,0,0.8,200.0,3272.0,16348.5,13779.0,13390.0,13013.0,12647.0,101467,104771,108188,111721,0
5658,17 Macquarie Street Prahran VIC 3181,3181,Apartment / Unit / Flat,0,0,1,0.1,200.0,653.8,6281.0,20442.0,19535.0,18669.0,17840.0,76595,80071,83705,87504,0
5659,8 Porter Street Prahran VIC 3181,3181,Apartment / Unit / Flat,0,0,1,0.1,200.0,707.2,6006.9,20442.0,19535.0,18669.0,17840.0,76595,80071,83705,87504,0
5642,Brunswick East VIC 3057,3057,Apartment / Unit / Flat,1,1,0,0.5,200.0,1710.1,5798.6,14522.0,14550.0,14578.0,14607.0,73120,77122,81343,85795,0
5660,1/47 Rowena Pde Richmond VIC 3121,3121,Studio,0,0,1,0.8,200.0,479.5,3696.7,33700.0,32500.0,31343.0,30227.0,82185,86074,90147,94413,0
5100,32 Smythe Street Geelong VIC 3220,3220,House,1,2,0,0.8,200.0,442.2,73297.5,21151.0,21115.0,21079.0,21043.0,115692,118378,121126,123938,0
5662,60 Garden Street South Yarra VIC 3141,3141,Apartment / Unit / Flat,1,1,0,1.1,200.0,1077.4,5993.8,21173.0,20160.0,19196.0,18280.0,101617,99762,99049,99286,0
5015,53B/116-130 Main Drive Macleod VIC 3085,3085,Studio,1,1,0,0.8,200.0,3272.0,16348.5,14992.0,14668.0,14352.0,14045.0,115582,119258,123055,126977,0
5422,Room B 1115 Plenty Road Bundoora VIC 3083,3083,House,1,1,1,0.8,200.0,4728.2,16692.6,13779.0,13390.0,13013.0,12647.0,101467,104771,108188,111721,0
5653,19A/116-130 Main Drive Macleod VIC 3085,3085,Apartment / Unit / Flat,1,1,0,0.8,200.0,3272.0,16348.5,14992.0,14668.0,14352.0,14045.0,115582,119258,123055,126977,0
5664,6/219 Widford St Broadmeadows VIC 3047,3047,Studio,1,1,0,0.2,205.0,1055.5,15865.9,24150.0,23105.0,22106.0,21152.0,75836,75976,76131,76301,0
5665,88C/116-130 Main Drive Macleod VIC 3085,3085,Studio,1,1,0,0.8,205.0,3272.0,16348.5,14992.0,14668.0,14352.0,14045.0,115582,119258,123055,126977,0
5670,Room 1B/42 Lardner Road Frankston VIC 3199,3199,Studio,1,1,0,1.1,210.0,299.1,55281.3,60500.0,59711.0,58932.0,58164.0,176387,182176,188161,194348,0
5666,Rooms at/125 Arthur Street Bundoora VIC 3083,3083,House,1,1,0,0.4,210.0,4015.8,18078.4,13779.0,13390.0,13013.0,12647.0,101467,104771,108188,111721,0
5663,4/55 Swan Street Footscray VIC 3011,3011,Apartment / Unit / Flat,1,1,1,0.5,210.0,1126.7,8189.9,25749.0,25312.0,24882.0,24461.0,135845,141657,147725,154059,0
5672,5/44 Glendale Road Springvale VIC 3171,3171,Apartment / Unit / Flat,1,1,0,1.0,210.0,1883.2,27852.2,21806.0,20844.0,19925.0,19046.0,39932,40427,40928,41435,0
5671,39A/116-130 Main Drive Macleod VIC 3085,3085,Studio,0,0,1,0.8,210.0,3272.0,16348.5,14992.0,14668.0,14352.0,14045.0,115582,119258,123055,126977,0
5669,43/14 Sandpiper Place Frankston VIC 3199,3199,Studio,1,1,0,0.4,210.0,1877.1,56081.7,60500.0,59711.0,58932.0,58164.0,176387,182176,188161,194348,0
5668,958 Dandenong Road Caulfield East VIC 3145,3145,Apartment / Unit / Flat,0,0,1,1.1,210.0,1019.7,13295.1,43092.0,41863.0,40672.0,39516.0,185083,189702,194442,199307,0
5667,390 Burwood Highway Burwood VIC 3125,3125,Apartment / Unit / Flat,1,1,20,1.8,210.0,3378.8,17602.0,22482.0,21795.0,21129.0,20484.0,102314,103847,105411,107006,0
5509,Room 5/5 Merryn Close Bundoora VIC 3083,3083,Apartment / Unit / Flat,1,3,0,1.1,210.0,5855.7,21628.2,13779.0,13390.0,13013.0,12647.0,101467,104771,108188,111721,0
5674,11A/116-130 Main Drive Macleod VIC 3085,3085,Studio,1,1,0,0.8,215.0,3272.0,16348.5,14992.0,14668.0,14352.0,14045.0,115582,119258,123055,126977,0
5673,13A/116-130 Main Drive Macleod VIC 3085,3085,Studio,1,1,0,0.8,215.0,3272.0,16348.5,14992.0,14668.0,14352.0,14045.0,115582,119258,123055,126977,0
1997,3.3/7 White Street Oakleigh East VIC 3166,3166,Townhouse,5,1,0,0.3,215.0,1610.5,20989.5,26711.0,26267.0,25833.0,25407.0,120758,124077,127489,130996,0
5044,71B/116-130 Main Drive Macleod VIC 3085,3085,Studio,1,1,0,0.8,215.0,3272.0,16348.5,14992.0,14668.0,14352.0,14045.0,115582,119258,123055,126977,0
4997,Room 5/25-29 Orpington Crescent Marshall VIC 3216,3216,House,1,1,0,0.7,219.0,621.8,89178.1,59229.0,60753.0,62377.0,64109.0,184195,192855,201927,211432,0
5678,9 Earl Street Carlton VIC 3053,3053,Studio,1,1,0,0.6,220.0,1079.0,1228.6,20750.0,18664.0,16787.0,15099.0,35718,36817,37950,39118,0
5645,28 Bouverie Street Carlton VIC 3053,3053,House,1,1,1,0.8,220.0,1289.4,1583.0,20750.0,18664.0,16787.0,15099.0,35718,36817,37950,39118,0
5676,1 Delany Avenue Burwood VIC 3125,3125,Studio,0,0,1,1.6,220.0,3352.9,16825.4,22482.0,21795.0,21129.0,20484.0,102314,103847,105411,107006,0
5679,21/789 Sydney Road Coburg VIC 3058,3058,Apartment / Unit / Flat,0,0,1,1.1,220.0,554.8,10410.0,37334.0,36772.0,36219.0,35674.0,132414,138563,144998,151732,0
5677,222 Burwood Highway Burwood VIC 3125,3125,Apartment / Unit / Flat,1,1,0,1.2,220.0,2905.6,16112.5,22482.0,21795.0,21129.0,20484.0,102314,103847,105411,107006,0
5683,12A/116-130 Main Drive Macleod VIC 3085,3085,Studio,0,0,1,0.8,220.0,3272.0,16348.5,14992.0,14668.0,14352.0,14045.0,115582,119258,123055,126977,0
5681,90C/116-130 Main Drive Macleod VIC 3085,3085,Studio,1,1,0,0.8,220.0,3272.0,16348.5,14992.0,14668.0,14352.0,14045.0,115582,119258,123055,126977,0
4989,18/26 Lansdowne Road St Kilda VIC 3182,3182,Studio,1,1,1,1.1,220.0,2047.8,8305.6,27813.0,26448.0,25151.0,23917.0,61492,63821,66238,68747,0
5033,11/12 Forrest Street Sunshine VIC 3020,3020,Apartment / Unit / Flat,1,1,1,0.6,220.0,854.2,14105.9,39344.0,38004.0,36712.0,35467.0,194856,199417,204092,208885,0
4869,703/500 Flinders Street Melbourne VIC 3000,3000,Apartment / Unit / Flat,1,1,0,2.6,220.0,1564.7,1529.4,41911.0,37220.0,33055.0,29355.0,23639,24109,24588,25077,0
4866,0/28 Davisons Place Melbourne VIC 3000,3000,Apartment / Unit / Flat,1,1,0,0.8,220.0,831.5,1215.2,41911.0,37220.0,33055.0,29355.0,23639,24109,24588,25077,0
1217,527/572 St Kilda Road Melbourne VIC 3004,3004,Studio,0,0,1,0.9,220.0,1064.0,4826.6,8538.0,8166.0,7812.0,7473.0,82000,78618,76292,74826,0
5416,3/57 Phoenix Street Sunshine North VIC 3020,3020,Apartment / Unit / Flat,1,1,0,0.7,220.0,2561.2,12929.5,39344.0,38004.0,36712.0,35467.0,194856,199417,204092,208885,0
4844,38 George Street St Albans VIC 3021,3021,House,1,1,0,0.3,220.0,2018.3,23009.5,45495.0,44112.0,42773.0,41476.0,160789,167220,173917,180890,0
5469,3/64 Cowper Street Footscray VIC 3011,3011,Apartment / Unit / Flat,1,1,0,0.4,220.0,612.9,6323.3,25749.0,25312.0,24882.0,24461.0,135845,141657,147725,154059,0
5475,8/55 Swan Street Footscray VIC 3011,3011,Apartment / Unit / Flat,1,1,0,0.5,220.0,1126.7,8189.9,25749.0,25312.0,24882.0,24461.0,135845,141657,147725,154059,0
5696,11/12 Forrest Street Sunshine VIC 3020,3020,Apartment / Unit / Flat,1,1,1,0.6,220.0,1125.6,6833.0,39344.0,38004.0,36712.0,35467.0,194856,199417,204092,208885,0
5695,4/116 Inkerman Street St Kilda VIC 3182,3182,Apartment / Unit / Flat,1,1,1,0.5,220.0,644.9,6848.4,27813.0,26448.0,25151.0,23917.0,61492,63821,66238,68747,0
5694,8/520 City Rd South Melbourne VIC 3205,3205,Studio,1,1,0,0.4,220.0,2377.4,3380.2,3182.0,3085.0,2990.0,2899.0,70585,72357,74173,76035,0
5693,23/9 Cooma Street Preston VIC 3072,3072,Apartment / Unit / Flat,0,0,1,0.1,220.0,758.2,10333.1,36088.0,35511.0,34945.0,34389.0,130429,136500,142854,149505,0
5680,2/5 Earlsfield Court Deer Park VIC 3023,3023,Apartment / Unit / Flat,1,1,1,0.2,220.0,3244.9,26626.5,52422.0,53061.0,54260.0,56204.0,368141,381742,396028,411040,0
